Name,Unit,Minimum,Maximum,Average
Brocauli,KG,Rs 160.00,Rs 180.00,Rs 170.00
Red Cabbbage,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,KG,Rs 500.00,Rs 600.00,Rs 550.00
Mint,KG,Rs 650.00,Rs 700.00,Rs 676.67
Tamarind,KG,Rs 140.00,Rs 160.00,Rs 150.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 140.00,Rs 150.00,Rs 145.00
Pomegranate,KG,Rs 450.00,Rs 480.00,Rs 463.33
Orange(Nepali),KG,Rs 90.00,Rs 100.00,Rs 95.00
Water Melon(Green),KG,Rs 80.00,Rs 100.00,Rs 90.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Local),KG,Rs 120.00,Rs 140.00,Rs 130.00
Lemon,KG,Rs 20.00,Rs 30.00,Rs 25.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 163.33
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 200.00,Rs 280.00,Rs 243.33
Ginger,KG,Rs 200.00,Rs 210.00,Rs 205.00
Chilli Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Chilli Green(Akbare),KG,Rs 230.00,Rs 250.00,Rs 240.00
Garlic Green,KG,Rs 200.00,Rs 250.00,Rs 226.67
Garlic Dry Chinese,KG,Rs 310.00,Rs 330.00,Rs 320.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
