Name,Unit,Minimum,Maximum,Average
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 300.00,Rs 350.00,Rs 326.67
Apple(Fuji),KG,Rs 280.00,Rs 350.00,Rs 320.00
Lime,KG,Rs 270.00,Rs 280.00,Rs 275.00
Grapes(Green),KG,Rs 180.00,Rs 200.00,Rs 190.00
Orange(Indian),KG,Rs 140.00,Rs 150.00,Rs 145.00
Sweet Orange,KG,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Jack Fruit,KG,Rs 100.00,Rs 110.00,Rs 105.00
Pear(Chinese),KG,Rs 240.00,Rs 250.00,Rs 245.00
Papaya(Indian),KG,Rs 100.00,Rs 110.00,Rs 105.00
Mombin,KG,Rs 80.00,Rs 100.00,Rs 90.00
Kiwi,KG,Rs 350.00,Rs 400.00,Rs 376.67
Ginger,KG,Rs 80.00,Rs 100.00,Rs 90.00
Chilli Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Capsicum,KG,Rs 90.00,Rs 100.00,Rs 95.00
Coriander Green,KG,Rs 25.00,Rs 35.00,Rs 30.00
Garlic Dry Nepali,KG,Rs 220.00,Rs 230.00,Rs 225.00
Clive Green,KG,Rs 60.00,Rs 70.00,Rs 65.00
Fish Fresh(Bachuwa),KG,Rs 240.00,Rs 260.00,Rs 250.00
Tree Tomato,Kg,Rs 170.00,Rs 180.00,Rs 175.00
Lentinula Edodes,Kg,Rs 700.00,Rs 800.00,Rs 750.00
