Name,Unit,Minimum,Maximum,Average
Carrot(Terai),KG,Rs 70.00,Rs 90.00,Rs 78.75
Cabbage(Terai),KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish Red,KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish White(Hybrid),KG,Rs 20.00,Rs 35.00,Rs 28.33
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 70.00,Rs 80.00,Rs 75.00
French Bean(Local),KG,Rs 55.00,Rs 60.00,Rs 57.67
French Bean(Rajma),KG,Rs 130.00,Rs 140.00,Rs 135.00
Soyabean Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bottle Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 45.00
Okara,KG,Rs 80.00,Rs 90.00,Rs 85.00
Barela,KG,Rs 30.00,Rs 40.00,Rs 35.00
Christophine,KG,Rs 15.00,Rs 20.00,Rs 17.67
Spinach Leaf,KG,Rs 60.00,Rs 70.00,Rs 65.00
Mustard Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Onion Green,KG,Rs 90.00,Rs 100.00,Rs 95.00
Mushroom(Kanya),KG,Rs 180.00,Rs 230.00,Rs 207.50
Asparagus,KG,Rs 800.00,"Rs 1,000.00",Rs 900.00
Sugarbeet,KG,Rs 90.00,Rs 100.00,Rs 95.00
Lettuce,KG,Rs 140.00,Rs 150.00,Rs 145.00
Parseley,KG,"Rs 1,500.00","Rs 1,800.00","Rs 1,666.67"
Turnip A,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 150.00,Rs 170.00,Rs 160.00
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Local),KG,Rs 120.00,Rs 140.00,Rs 130.00
Lemon,KG,Rs 25.00,Rs 30.00,Rs 27.67
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 166.67
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 200.00,Rs 210.00,Rs 205.00
Chilli Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 280.00,Rs 266.67
Garlic Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Garlic Dry Chinese,KG,Rs 310.00,Rs 330.00,Rs 320.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 245.00,Rs 360.00,Rs 318.33
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
