Name,Unit,Minimum,Maximum,Average
Tomato Small(Indian),KG,Rs 40.00,Rs 44.00,Rs 42.33
Potato Red(Indian),KG,Rs 62.00,Rs 65.00,Rs 63.33
Onion Dry (Indian),KG,Rs 120.00,Rs 125.00,Rs 122.67
Carrot(Terai),KG,Rs 70.00,Rs 90.00,Rs 80.00
Cabbage(Terai),KG,Rs 40.00,Rs 50.00,Rs 45.00
Raddish Red,KG,Rs 25.00,Rs 30.00,Rs 27.67
Raddish White(Hybrid),KG,Rs 15.00,Rs 25.00,Rs 20.00
Brinjal Round,KG,Rs 60.00,Rs 70.00,Rs 65.00
Cowpea(Short),KG,Rs 60.00,Rs 70.00,Rs 65.00
French Bean(Local),KG,Rs 40.00,Rs 50.00,Rs 45.00
French Bean(Rajma),KG,Rs 70.00,Rs 80.00,Rs 75.00
Soyabean Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Bottle Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 45.00
Okara,KG,Rs 80.00,Rs 90.00,Rs 85.00
Barela,KG,Rs 30.00,Rs 40.00,Rs 35.00
Christophine,KG,Rs 23.00,Rs 25.00,Rs 24.33
Spinach Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mustard Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Onion Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Mushroom(Kanya),KG,Rs 180.00,Rs 230.00,Rs 207.50
Asparagus,KG,Rs 800.00,"Rs 1,000.00",Rs 900.00
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 85.00
Lettuce,KG,Rs 140.00,Rs 150.00,Rs 145.00
Parseley,KG,"Rs 1,500.00","Rs 1,800.00","Rs 1,666.67"
Turnip A,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 250.00,Rs 300.00,Rs 276.67
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 150.00,Rs 170.00,Rs 160.00
Grapes(Black),KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Indian),KG,Rs 100.00,Rs 120.00,Rs 110.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Lemon,KG,Rs 40.00,Rs 50.00,Rs 45.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 166.67
Sarifa,KG,Rs 150.00,Rs 200.00,Rs 173.33
Amla,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Dry,KG,Rs 400.00,Rs 430.00,Rs 415.00
Chilli Green(Bullet),KG,Rs 100.00,Rs 110.00,Rs 105.00
Capsicum,KG,Rs 130.00,Rs 140.00,Rs 135.00
Coriander Green,KG,Rs 80.00,Rs 90.00,Rs 85.00
Garlic Dry Nepali,KG,Rs 320.00,Rs 350.00,Rs 333.33
Clive Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 263.33
Tree Tomato,Kg,Rs 150.00,Rs 180.00,Rs 166.67
