Name,Unit,Minimum,Maximum,Average
Garlic Dry Chinese,KG,Rs 300.00,Rs 320.00,Rs 310.00
Clive Green,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 263.33
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Small(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Tomato Small(Indian),KG,Rs 60.00,Rs 80.00,Rs 70.00
Potato Red(Indian),KG,Rs 65.00,Rs 70.00,Rs 67.67
Onion Dry (Indian),KG,Rs 105.00,Rs 110.00,Rs 107.67
Carrot(Terai),KG,Rs 130.00,Rs 140.00,Rs 135.00
Cabbage(Terai),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Terai,KG,Rs 80.00,Rs 90.00,Rs 85.00
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),KG,Rs 140.00,Rs 150.00,Rs 145.00
Green Peas,KG,Rs 120.00,Rs 130.00,Rs 125.00
French Bean(Hybrid),KG,Rs 100.00,Rs 120.00,Rs 110.00
Sword Bean,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bottle Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Pointed Gourd(Terai),KG,Rs 100.00,Rs 110.00,Rs 105.00
Smooth Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Squash(Long),KG,Rs 40.00,Rs 50.00,Rs 45.00
Turnip,KG,Rs 70.00,Rs 80.00,Rs 75.00
Sweet Potato,KG,Rs 80.00,Rs 90.00,Rs 85.00
Arum,KG,Rs 50.00,Rs 60.00,Rs 55.00
Brd Leaf Mustard,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cress Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Fenugreek Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bakula,KG,Rs 120.00,Rs 130.00,Rs 125.00
Mushroom(Kanya),KG,Rs 200.00,Rs 250.00,Rs 226.67
Asparagus,KG,"Rs 1,100.00","Rs 1,200.00","Rs 1,150.00"
Sugarbeet,KG,Rs 100.00,Rs 120.00,Rs 110.00
Lettuce,KG,Rs 100.00,Rs 120.00,Rs 110.00
Parseley,KG,"Rs 1,500.00","Rs 1,800.00","Rs 1,633.33"
Mint,KG,Rs 600.00,Rs 700.00,Rs 650.00
Tamarind,KG,Rs 140.00,Rs 160.00,Rs 150.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 150.00,Rs 170.00,Rs 160.00
Pomegranate,KG,Rs 380.00,Rs 400.00,Rs 390.00
Orange(Nepali),KG,Rs 90.00,Rs 110.00,Rs 100.00
Water Melon(Green),KG,Rs 80.00,Rs 100.00,Rs 90.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Lemon,KG,Rs 40.00,Rs 50.00,Rs 45.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 163.33
Strawberry,KG,Rs 500.00,Rs 600.00,Rs 550.00
Sarifa,KG,Rs 200.00,Rs 250.00,Rs 226.67
Amla,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Dry,KG,Rs 380.00,Rs 400.00,Rs 390.00
Chilli Green(Bullet),KG,Rs 70.00,Rs 80.00,Rs 75.00
Capsicum,KG,Rs 110.00,Rs 120.00,Rs 115.00
Coriander Green,KG,Rs 80.00,Rs 100.00,Rs 90.00
Garlic Dry Nepali,KG,Rs 300.00,Rs 320.00,Rs 310.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
