Name,Unit,Minimum,Maximum,Average
Potato Red,KG,Rs 75.00,Rs 78.00,Rs 76.33
Potato White,KG,Rs 61.00,Rs 63.00,Rs 62.00
Carrot(Local),KG,Rs 110.00,Rs 120.00,Rs 115.00
Cabbage(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Cauli Local,KG,Rs 60.00,Rs 100.00,Rs 80.00
Cauli Terai,KG,Rs 70.00,Rs 90.00,Rs 81.25
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 50.00,Rs 60.00,Rs 55.00
Cow pea(Long),KG,Rs 100.00,Rs 120.00,Rs 106.67
Green Peas,KG,Rs 140.00,Rs 150.00,Rs 145.00
French Bean(Hybrid),KG,Rs 100.00,Rs 120.00,Rs 110.00
Bitter Gourd,KG,Rs 100.00,Rs 110.00,Rs 105.00
Pointed Gourd(Local),KG,Rs 70.00,Rs 80.00,Rs 75.00
Snake Gourd,KG,Rs 50.00,Rs 60.00,Rs 55.00
Pumpkin,KG,Rs 50.00,Rs 60.00,Rs 55.00
Squash(Round),KG,Rs 55.00,Rs 60.00,Rs 57.67
Sweet Potato,KG,Rs 70.00,Rs 80.00,Rs 75.00
Arum,KG,Rs 70.00,Rs 80.00,Rs 75.00
Brd Leaf Mustard,KG,Rs 25.00,Rs 40.00,Rs 32.50
Cress Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Fenugreek Leaf,KG,Rs 100.00,Rs 120.00,Rs 110.00
Bakula,KG,Rs 130.00,Rs 140.00,Rs 135.00
Mushroom(Kanya),KG,Rs 200.00,Rs 250.00,Rs 226.67
Asparagus,KG,"Rs 1,000.00","Rs 1,200.00","Rs 1,100.00"
Sugarbeet,KG,Rs 70.00,Rs 80.00,Rs 75.00
Lettuce,KG,Rs 90.00,Rs 100.00,Rs 95.00
Celery,KG,Rs 300.00,Rs 400.00,Rs 350.00
Fennel Leaf,KG,Rs 90.00,Rs 100.00,Rs 95.00
Turnip A,KG,Rs 90.00,Rs 100.00,Rs 95.00
Bamboo Shoot,KG,Rs 90.00,Rs 100.00,Rs 95.00
Gundruk,KG,Rs 280.00,Rs 300.00,Rs 290.00
Apple(Fuji),KG,Rs 280.00,Rs 300.00,Rs 290.00
Lime,KG,Rs 130.00,Rs 140.00,Rs 135.00
Grapes(Green),KG,Rs 200.00,Rs 250.00,Rs 226.67
Orange(Nepali),KG,Rs 90.00,Rs 110.00,Rs 100.00
Sweet Orange,KG,Rs 150.00,Rs 160.00,Rs 155.00
Pineapple,1 Pc,Rs 180.00,Rs 200.00,Rs 190.00
Cucumber(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 110.00,Rs 130.00,Rs 120.00
Chilli Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Green(Machhe),KG,Rs 90.00,Rs 100.00,Rs 95.00
Capsicum,KG,Rs 70.00,Rs 85.00,Rs 78.33
Coriander Green,KG,Rs 130.00,Rs 150.00,Rs 140.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 260.00,Rs 250.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
