Name,Unit,Minimum,Maximum,Average
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Avocado,KG,Rs 200.00,Rs 250.00,Rs 226.67
Ginger,KG,Rs 100.00,Rs 150.00,Rs 126.67
Chilli Green,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Green(Akbare),KG,Rs 250.00,Rs 300.00,Rs 273.33
Garlic Green,KG,Rs 180.00,Rs 250.00,Rs 216.67
Garlic Dry Chinese,KG,Rs 310.00,Rs 330.00,Rs 320.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 345.00,Rs 360.00,Rs 351.67
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 280.00,Rs 260.00
King Oyster,Kg,Rs 280.00,Rs 300.00,Rs 290.00
Tomato Small(Local),KG,Rs 80.00,Rs 95.00,Rs 88.33
Tomato Small(Indian),KG,Rs 85.00,Rs 95.00,Rs 90.00
Potato Red(Indian),KG,Rs 63.00,Rs 65.00,Rs 64.00
Carrot(Local),KG,Rs 120.00,Rs 140.00,Rs 130.00
Cabbage(Local),KG,Rs 50.00,Rs 60.00,Rs 55.00
Cauli Local,KG,Rs 100.00,Rs 120.00,Rs 110.00
Raddish White(Local),KG,Rs 30.00,Rs 40.00,Rs 35.00
Brinjal Long,KG,Rs 40.00,Rs 50.00,Rs 45.00
Cow pea(Long),KG,Rs 130.00,Rs 140.00,Rs 135.00
Green Peas,KG,Rs 100.00,Rs 120.00,Rs 110.00
French Bean(Hybrid),KG,Rs 100.00,Rs 120.00,Rs 110.00
Sword Bean,KG,Rs 70.00,Rs 80.00,Rs 75.00
Bitter Gourd,KG,Rs 80.00,Rs 90.00,Rs 85.00
Pointed Gourd(Local),KG,Rs 60.00,Rs 70.00,Rs 65.00
Snake Gourd,KG,Rs 30.00,Rs 40.00,Rs 35.00
Pumpkin,KG,Rs 30.00,Rs 40.00,Rs 35.00
Squash(Round),KG,Rs 40.00,Rs 50.00,Rs 45.00
Okara,KG,Rs 80.00,Rs 90.00,Rs 85.00
Barela,KG,Rs 30.00,Rs 40.00,Rs 35.00
Christophine,KG,Rs 15.00,Rs 20.00,Rs 17.67
Spinach Leaf,KG,Rs 50.00,Rs 60.00,Rs 55.00
Mustard Leaf,KG,Rs 100.00,Rs 150.00,Rs 126.67
Onion Green,KG,Rs 80.00,Rs 100.00,Rs 90.00
Mushroom(Button),KG,Rs 270.00,Rs 320.00,Rs 296.67
Brocauli,KG,Rs 130.00,Rs 150.00,Rs 140.00
Red Cabbbage,KG,Rs 70.00,Rs 80.00,Rs 75.00
Celery,KG,Rs 500.00,Rs 600.00,Rs 550.00
Mint,KG,Rs 500.00,Rs 700.00,Rs 600.00
Tamarind,KG,Rs 140.00,Rs 160.00,Rs 150.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 150.00,Rs 170.00,Rs 160.00
Pomegranate,KG,Rs 450.00,Rs 480.00,Rs 466.67
Orange(Nepali),KG,Rs 90.00,Rs 110.00,Rs 100.00
Water Melon(Green),KG,Rs 80.00,Rs 100.00,Rs 90.00
Mandarin,KG,Rs 300.00,Rs 350.00,Rs 326.67
Cucumber(Local),KG,Rs 120.00,Rs 130.00,Rs 125.00
Lemon,KG,Rs 30.00,Rs 40.00,Rs 35.00
Papaya(Nepali),KG,Rs 40.00,Rs 50.00,Rs 45.00
Guava,KG,Rs 150.00,Rs 180.00,Rs 163.33
Strawberry,KG,Rs 500.00,Rs 600.00,Rs 550.00
Sarifa,KG,Rs 200.00,Rs 250.00,Rs 225.00
Amla,KG,Rs 70.00,Rs 80.00,Rs 75.00
Chilli Dry,KG,Rs 400.00,Rs 430.00,Rs 416.67
Chilli Green(Bullet),KG,Rs 90.00,Rs 110.00,Rs 100.00
Capsicum,KG,Rs 130.00,Rs 140.00,Rs 135.00
Coriander Green,KG,Rs 80.00,Rs 120.00,Rs 100.00
Garlic Dry Nepali,KG,Rs 330.00,Rs 350.00,Rs 340.00
Clive Green,KG,Rs 300.00,Rs 350.00,Rs 326.67
Fish Fresh(Bachuwa),KG,Rs 250.00,Rs 280.00,Rs 265.00
Tree Tomato,Kg,Rs 180.00,Rs 200.00,Rs 190.00
