Name,Unit,Minimum,Maximum,Average
Carrot(Local),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cabbage(Local),KG,Rs 25.00,Rs 35.00,Rs 30.00
Cabbage,KG,Rs 20.00,Rs 30.00,Rs 25.00
Cauli Local(Jyapu),KG,Rs 30.00,Rs 40.00,Rs 35.00
Raddish Red,KG,Rs 30.00,Rs 35.00,Rs 32.33
Raddish White(Hybrid),KG,Rs 35.00,Rs 45.00,Rs 40.00
Brinjal Round,KG,Rs 50.00,Rs 60.00,Rs 55.00
Green Peas,KG,Rs 110.00,Rs 120.00,Rs 115.00
French Bean(Hybrid),KG,Rs 60.00,Rs 70.00,Rs 65.00
Sword Bean,KG,Rs 40.00,Rs 50.00,Rs 45.00
Bottle Gourd,KG,Rs 40.00,Rs 60.00,Rs 50.00
Pumpkin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Squash(Round),KG,Rs 20.00,Rs 30.00,Rs 25.00
Okara,KG,Rs 100.00,Rs 110.00,Rs 105.00
Barela,KG,Rs 30.00,Rs 40.00,Rs 35.00
Christophine,KG,Rs 30.00,Rs 40.00,Rs 35.00
Spinach Leaf,KG,Rs 70.00,Rs 80.00,Rs 75.00
Mustard Leaf,KG,Rs 30.00,Rs 40.00,Rs 35.00
Onion Green,KG,Rs 50.00,Rs 60.00,Rs 55.00
Yam,KG,Rs 70.00,Rs 80.00,Rs 75.00
Mushroom(Button),KG,Rs 350.00,Rs 400.00,Rs 376.67
Sugarbeet,KG,Rs 80.00,Rs 90.00,Rs 85.00
Red Cabbbage,KG,Rs 60.00,Rs 70.00,Rs 65.00
Knolkhol,KG,Rs 80.00,Rs 90.00,Rs 85.00
Parseley,KG,Rs 700.00,Rs 800.00,Rs 750.00
Mint,KG,Rs 300.00,Rs 400.00,Rs 350.00
Tamarind,KG,Rs 150.00,Rs 160.00,Rs 155.00
Tofu,KG,Rs 110.00,Rs 120.00,Rs 115.00
Apple(Jholey),KG,Rs 240.00,Rs 260.00,Rs 250.00
Banana,Per Dozen,Rs 150.00,Rs 170.00,Rs 160.00
Pomegranate,KG,Rs 350.00,Rs 400.00,Rs 376.67
Grapes(Black),KG,Rs 350.00,Rs 380.00,Rs 363.33
Orange(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Cucumber(Hybrid),KG,Rs 80.00,Rs 90.00,Rs 85.00
Pear(Chinese),KG,Rs 230.00,Rs 250.00,Rs 240.00
Papaya(Indian),KG,Rs 90.00,Rs 100.00,Rs 95.00
Mombin,KG,Rs 40.00,Rs 50.00,Rs 45.00
Kiwi,KG,Rs 200.00,Rs 250.00,Rs 226.67
Amla,KG,Rs 50.00,Rs 60.00,Rs 55.00
Chilli Dry,KG,Rs 380.00,Rs 400.00,Rs 390.00
Chilli Green(Bullet),KG,Rs 80.00,Rs 90.00,Rs 85.00
Chilli Green(Akbare),KG,Rs 280.00,Rs 300.00,Rs 290.00
Garlic Green,KG,Rs 180.00,Rs 200.00,Rs 190.00
Garlic Dry Chinese,KG,Rs 280.00,Rs 300.00,Rs 290.00
Clive Dry,KG,Rs 140.00,Rs 160.00,Rs 150.00
Fish Fresh(Rahu),KG,Rs 330.00,Rs 350.00,Rs 340.00
Fish Fresh(Chhadi),KG,Rs 240.00,Rs 260.00,Rs 250.00
Tree Tomato,Kg,Rs 120.00,Rs 140.00,Rs 130.00
Lentinula Edodes,Kg,Rs 700.00,Rs 800.00,Rs 750.00
